,Unnamed: 0,open_time,open,high,low,close,volume,close_time,count,long,rsi_value,rsi_over_80,rsi_under_20,stochRsi_value,stoch_K_value,stoch_D_value,stoch_K_cross_D_bullish,stoch_K_cross_D_bearish,stochRsi_over_80,stochRsi_under_20,pSar_value,price_over_pSar,sma_value_9,price_over_sma,ichimoku_span_A,ichimoku_span_B,ichimoku_tenkan_sen,ichimoku_kijun_sen,tenkan_over_kijun,spanaA_over_spanB,ichimoku_price_in_cloud_color
50,50,1633226400000,47516.38,47769.99,47500.0,47620.36,941.31649,1633229999999,33707,1,50.620928020311084,0,0,0.2768632041425698,0.15826595881033775,0.07489338183904097,1,0,0,0,48223.280517119994,0,47813.242222222216,0,47703.1475,45889.015,47694.0,47712.295,0,0,0
51,51,1633230000000,47620.37,47963.0,47534.34,47898.66,826.12062,1633233599999,29452,-1,55.82635187819657,0,0,0.4720409972466448,0.31561295789255267,0.17995238026634608,1,0,0,0,48177.869296435194,0,47817.09111111111,1,47703.1475,45889.015,47694.0,47712.295,0,0,1
52,52,1633233600000,47894.44,47963.0,47788.34,47890.78,633.7895,1633237199999,23300,-1,55.64747412743021,0,0,0.49049780350516525,0.41313400163145997,0.29567097277811677,1,0,0,0,48134.274524577784,0,47778.29,1,47703.1475,45889.015,47694.0,47712.295,0,0,1
53,53,1633237200000,47890.78,48100.0,47860.11,47990.14,735.55957,1633240799999,28818,-1,57.49678085544235,0,0,0.5635874012543206,0.5087087340020435,0.412485231175352,1,0,0,0,47088.0,1,47777.612222222226,1,47703.1475,45889.015,47694.0,47712.295,0,0,1
54,54,1633240800000,47990.13,48057.0,47896.93,47972.99,617.25174,1633244399999,33180,-1,57.054581261935034,0,0,0.5461104787272332,0.5333985611622397,0.4850804322652477,1,0,0,0,47108.24,1,47760.62222222222,1,47703.1475,45923.64,47694.0,47712.295,0,0,1
55,55,1633244400000,47970.15,47970.16,47814.0,47895.99,569.31948,1633247999999,28328,-1,55.00898589269398,0,0,0.4652630236076183,0.5249869678630573,0.5223647543424469,1,0,0,0,47128.0752,1,47743.583333333336,1,47674.1475,45975.729999999996,47636.0,47712.295,0,0,1
56,56,1633248000000,47896.0,47983.38,47798.5,47823.99,838.17079,1633251599999,28691,-1,53.092145552783236,0,0,0.38950431507578503,0.46695927247021213,0.5084482671651697,0,0,0,0,47147.513696,1,47764.59333333334,1,47653.1475,46005.305,47594.0,47712.295,0,0,1
57,57,1633251600000,47823.98,47869.0,47600.0,47830.09,1489.72226,1633255199999,47395,-1,53.240808015032066,0,0,0.4982610966042156,0.4510094784292063,0.4809852395874919,0,1,0,0,47166.56342208,1,47826.596666666665,1,47686.965,46112.0,47661.634999999995,47712.295,0,0,1
58,58,1633255200000,47830.09,47953.2,47730.0,47812.32,625.24084,1633258799999,25487,-1,52.71666959581382,0,0,0.4721554138564126,0.4533069418454711,0.4570918975816298,0,1,0,0,47185.2321536384,1,47859.48,0,47756.1475,46205.630000000005,47800.0,47712.295,1,0,1
59,59,1633258800000,47812.32,48048.0,47778.05,47974.86,972.55548,1633262399999,31364,-1,56.89661180451699,0,0,0.7683073416878731,0.5795746173828337,0.49463034588583704,1,0,0,0,47203.527510565626,1,47898.86888888889,1,47764.7325,46597.5,47817.17,47712.295,1,0,1
