,open_time,open,high,low,close,volume,close_time,count,long
1934,1640008800000,45713.94,46313.89,45558.85,46307.49,2633.54582,1640012399999,68799,1
1935,1640012400000,46307.48,46307.49,45907.81,45974.08,1562.93057,1640015999999,45174,1
1936,1640016000000,45974.09,46499.0,45863.72,46412.41,1636.13153,1640019599999,45757,1
1937,1640019600000,46412.5,46500.0,46101.0,46116.61,1200.80394,1640023199999,39447,1
1938,1640023200000,46116.62,46340.1,46025.01,46268.58,1725.71117,1640026799999,45618,1
1939,1640026800000,46268.58,46690.0,46240.01,46585.55,1717.22917,1640030399999,52616,1
1940,1640030400000,46585.56,47246.0,46585.55,47021.02,2240.77932,1640033999999,60166,1
1941,1640034000000,47020.99,47537.57,46956.89,46961.23,2309.70816,1640037599999,61232,1
1942,1640037600000,46962.64,47108.92,46717.55,46757.69,727.72223,1640041199999,31339,1
1943,1640041200000,46757.7,47096.96,46747.84,46914.16,1028.84754,1640044799999,28018,1
1944,1640044800000,46914.17,47162.27,46754.39,46793.23,1227.99665,1640048399999,32545,1
1945,1640048400000,46793.22,47000.0,46630.0,46946.72,1076.8016,1640051999999,32611,1
1946,1640052000000,46946.72,47098.8,46871.82,46942.54,723.05568,1640055599999,25664,1
1947,1640055600000,46942.54,48085.0,46914.76,47928.47,3002.1863,1640059199999,78485,1
1948,1640059200000,47928.48,48824.16,47927.05,48555.01,4522.30817,1640062799999,109337,1
1949,1640062800000,48555.0,48768.6,48291.36,48600.51,2136.57152,1640066399999,56006,1
1950,1640066400000,48600.5,48704.17,48331.56,48546.88,1481.32305,1640069999999,43154,1
1951,1640070000000,48546.88,48671.56,48412.43,48579.77,1225.43448,1640073599999,38586,1
1952,1640073600000,48579.77,49000.0,48512.0,48566.44,2877.38845,1640077199999,63664,1
1953,1640077200000,48566.43,48699.0,48438.49,48591.72,1258.33927,1640080799999,37320,1
1954,1640080800000,48591.71,48785.16,48568.39,48657.85,838.14217,1640084399999,28635,0
1955,1640084400000,48657.86,48899.0,48623.48,48866.92,1073.64637,1640087999999,32534,-1
1956,1640088000000,48866.92,49328.96,48641.35,48735.49,3074.34857,1640091599999,83072,0
1957,1640091600000,48735.49,48970.88,48575.09,48909.49,1564.00435,1640095199999,54925,-1
1958,1640095200000,48909.49,48966.2,48520.0,48624.01,1453.20324,1640098799999,51771,0
1959,1640098800000,48624.01,48788.87,48265.24,48418.49,2209.08606,1640102399999,61643,1
1960,1640102400000,48418.48,48746.97,48381.57,48685.19,1137.16935,1640105999999,39809,0
1961,1640106000000,48685.18,48876.94,48570.32,48655.17,938.65985,1640109599999,33947,0
1962,1640109600000,48655.16,48684.93,48402.0,48441.51,963.02756,1640113199999,31049,1
1963,1640113200000,48441.51,48660.92,48332.5,48619.79,863.33488,1640116799999,34111,0
1964,1640116800000,48619.8,48791.95,48461.47,48608.95,813.50308,1640120399999,33727,0
1965,1640120400000,48608.94,49177.0,48528.89,49084.25,1360.5625,1640123999999,44554,-1
1966,1640124000000,49084.24,49287.93,48943.61,49287.92,873.50019,1640127599999,37814,-1
1967,1640127600000,49287.92,49287.93,48840.01,48889.88,1020.3359,1640131199999,34449,0
1968,1640131200000,48887.59,48992.5,48630.01,48644.13,1027.36177,1640134799999,33420,-1
1969,1640134800000,48644.12,48847.14,48600.0,48818.89,742.92826,1640138399999,27765,-1
1970,1640138400000,48818.9,49576.13,48727.47,49326.5,1987.96756,1640141999999,62485,-1
1971,1640142000000,49327.24,49446.35,49141.15,49249.0,892.82053,1640145599999,33313,-1
